hdim,lr,back_step,loss,loss_adjusted
25,0.05,0,5.259875085534693,5.669856252920984
25,0.05,2,5.258743819994059,5.668575847941893
25,0.05,5,5.240039401279102,5.647405547960678
25,0.1,0,5.0846774078035395,5.471561537105255
25,0.1,2,5.082529204336988,5.469130127046452
25,0.1,5,5.074787954524742,5.460368316094063
25,0.5,0,5.024192809991053,5.403103003351967
25,0.5,2,4.928337218755593,5.294610371089157
25,0.5,5,4.922175371589455,5.287636181998683
50,0.05,0,5.183009407303901,5.582857052828003
50,0.05,2,5.1586697095206855,5.555308551515276
50,0.05,5,5.1426294276201165,5.53715361257848
50,0.1,0,5.036434529196515,5.416958599284397
50,0.1,2,5.042866620900223,5.424238660373133
50,0.1,5,5.053413650845573,5.43617614911612
50,0.5,0,4.936087765946642,5.303382705132443
50,0.5,2,4.983070214828472,5.356559045538311
50,0.5,5,4.970408927790128,5.342228568401609
